loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
L-10025,B-5025,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,MI,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10292,B-5292,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,XX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10304,B-5304,mortgage,2022-03-15,2052-03-15,350000.00,50000.00,6.75,360,PA,purchase,A,5-10 years,100k-150k,closed,0,First National,2026-08-01,2026-08-21,complete,origination
L-10054,B-5054,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10112,B-5112,mortgage,not-a-date,2052-03-15,350000.00,342000.00,6.75,360,IL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10283,B-5283,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,MI,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-04-28,complete,origination
L-10033,B-5033,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10021,B-5021,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,PA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
,,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10060,B-5060,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-DUPCOMBO-1,B-9999,mortgage,2021-06-01,2052-03-15,280000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10240,B-5240,mortgage,2022-03-15,2052-03-15,300000.00,400000.00,6.75,360,IL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10016,B-5016,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,PA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10068,B-5068,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10294,B-5294,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,XX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10008,B-5008,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10273,B-5273,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,CA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,,origination
L-10232,B-5232,mortgage,2022-03-15,2052-03-15,-50000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10263,B-5263,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,delinquent,0,First National,2026-08-01,2026-08-21,complete,origination
L-10010,B-5010,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,AZ,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
,,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,MI,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10261,B-5261,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,AZ,purchase,A,5-10 years,100k-150k,delinquent,0,First National,2026-08-01,2026-08-21,complete,origination
L-10007,B-5007,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,PA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10030,B-5030,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10301,B-5301,mortgage,2022-03-15,2052-03-15,350000.00,50000.00,6.75,360,PA,purchase,A,5-10 years,100k-150k,closed,0,First National,2026-08-01,2026-08-21,complete,origination
L-10252,B-5252,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,55.00,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10260,B-5260,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,MI,purchase,A,5-10 years,100k-150k,current,15,First National,2026-08-01,2026-08-21,complete,origination
L-10046,B-5046,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10014,B-5014,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10002,B-5002,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10062,B-5062,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,AZ,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10041,B-5041,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,MI,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-REPEAT-0,B-REPEAT,mortgage,2022-01-15,2052-03-15,350000.00,342000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-REPEAT-4,B-REPEAT,mortgage,2022-05-15,2052-03-15,350000.00,342000.00,6.75,360,AZ,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10281,B-5281,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,TX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-04-28,complete,origination
L-REPEAT-3,B-REPEAT,mortgage,2022-04-15,2052-03-15,350000.00,342000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10282,B-5282,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,AZ,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-04-28,complete,origination
L-10243,B-5243,mortgage,2022-03-15,2052-03-15,300000.00,400000.00,6.75,360,TX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10291,B-5291,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,XX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10069,B-5069,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10020,B-5020,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10241,B-5241,mortgage,2022-03-15,2052-03-15,300000.00,400000.00,6.75,360,TX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10047,B-5047,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,AZ,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10039,B-5039,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10050,B-5050,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10111,B-5111,mortgage,not-a-date,2052-03-15,350000.00,342000.00,6.75,360,TX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10027,B-5027,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,CA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10303,B-5303,mortgage,2022-03-15,2052-03-15,350000.00,50000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,closed,0,First National,2026-08-01,2026-08-21,complete,origination
L-10045,B-5045,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,PA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10302,B-5302,mortgage,2022-03-15,2052-03-15,350000.00,50000.00,6.75,360,CA,purchase,A,5-10 years,100k-150k,closed,0,First National,2026-08-01,2026-08-21,complete,origination
L-10067,B-5067,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10000,B-5000,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10280,B-5280,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,TX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-04-28,complete,origination
