loan_id,current_balance,interest_rate,payment_status,days_past_due,last_payment_date,document_status,servicer_name,last_updated_at
L-100086,215292.48,12.82,delinquent_90+,62,2026-01-20,complete,Freedom Mortgage,2026-08-21
L-100087,79352.99,,,0,2026-07-15,,,2026-08-23
L-100088,143348.16,5.28,delinquent_60,120,2026-08-03,pending,Rocket Servicing,2026-08-26
L-100089,285150.05,12.15,delinquent_30,75,2026-02-18,pending,Freedom Mortgage,2026-08-09
L-100091,38919.67,4.49,delinquent_60,95,2026-05-15,complete,ServPro,2026-08-23
L-100092,196191.55,5.77,forbearance,0,2026-08-15,complete,Apex Loan Servicing,2026-08-02
L-100093,353903.61,9.74,current,0,2026-02-08,complete,Rocket Servicing,2026-08-19
L-100094,228254.94,8.15,delinquent_90+,62,2026-03-19,verified,ServPro,2026-08-03
L-100095,157502.67,3.76,delinquent_30,62,2026-07-23,verified,Rocket Servicing,2026-08-22
L-100096,391443.87,9.10,delinquent_90+,31,2026-06-09,missing,First National,2026-08-25
L-100097,249433.22,14.36,forbearance,0,2026-08-14,complete,Freedom Mortgage,2026-08-17
L-100098,364310.50,10.00,current,0,2026-04-09,pending,Rocket Servicing,2026-08-15
L-100099,235238.10,2.85,forbearance,0,2026-04-23,pending,Rocket Servicing,2026-08-18
L-100101,143634.24,5.20,current,0,2026-08-04,pending,ServPro,2026-08-23
L-100102,202357.91,8.29,delinquent_90+,45,2026-08-18,pending,ServPro,2026-08-07
L-100103,246414.42,13.05,current,0,2026-05-25,verified,Rocket Servicing,2026-08-26
L-100104,394761.00,5.89,delinquent_60,95,2026-08-28,pending,ServPro,2026-08-18
L-100105,162908.98,11.65,delinquent_90+,75,2026-06-28,pending,Freedom Mortgage,2026-08-19
L-100106,411606.16,7.43,delinquent_60,120,2026-08-23,verified,ServPro,2026-08-22
L-100107,314709.03,4.33,current,0,2026-03-17,missing,First National,2026-08-15
L-100108,301048.22,2.68,delinquent_30,75,2026-03-03,verified,Rocket Servicing,2026-08-11
L-100109,43149.78,6.44,forbearance,0,2026-07-11,verified,Apex Loan Servicing,2026-08-02
L-100110,116515.87,10.71,delinquent_60,45,2026-02-14,complete,First National,2026-08-15
L-100111,144349.69,,delinquent_60,,2026-07-05,pending,,2026-08-17
L-100112,328855.18,4.66,delinquent_30,31,2026-07-20,pending,ServPro,2026-08-19
L-100113,9463.78,12.16,delinquent_60,,,pending,,2026-08-03
L-100114,169143.67,9.55,delinquent_90+,120,2026-05-15,missing,Freedom Mortgage,2026-08-13
L-100115,55660.30,7.08,delinquent_60,95,2026-05-23,missing,First National,2026-08-27
L-100116,135378.18,9.29,current,0,2026-08-27,missing,Freedom Mortgage,2026-08-20
L-100117,109027.16,4.78,delinquent_60,120,2026-03-21,complete,First National,2026-08-10
L-100118,20848.15,6.88,delinquent_30,31,2026-05-11,verified,Freedom Mortgage,2026-08-07
L-100119,396727.66,,delinquent_90+,,2026-05-24,,,2026-08-11
L-100120,227457.41,3.40,delinquent_30,120,2026-07-28,missing,First National,2026-08-26
L-100121,130617.82,3.98,delinquent_60,120,2026-05-19,verified,Rocket Servicing,2026-08-04
L-100122,228951.51,9.93,forbearance,0,2026-06-20,pending,First National,2026-08-21
L-100123,436959.13,6.13,delinquent_90+,31,2026-03-02,complete,Rocket Servicing,2026-08-16
L-100124,350134.60,8.95,delinquent_90+,75,2026-06-22,verified,Apex Loan Servicing,2026-08-24
L-100125,316087.90,12.50,forbearance,0,2026-07-09,complete,Rocket Servicing,2026-08-07
L-100126,456513.71,12.77,current,0,2026-06-18,missing,First National,2026-08-13
L-100127,309809.62,,forbearance,0,,complete,First National,2026-08-26
L-100128,474689.93,11.94,delinquent_30,31,2026-04-19,pending,Freedom Mortgage,2026-08-11
L-100129,379605.78,9.65,delinquent_60,45,2026-03-18,missing,Freedom Mortgage,2026-08-04
L-100130,17245.57,2.68,delinquent_30,95,2026-06-01,pending,Rocket Servicing,2026-08-02
L-100131,374558.09,,forbearance,0,2026-02-15,,,2026-08-17
L-100132,19796.55,,,,2026-08-28,,ServPro,2026-08-14
L-100133,237877.71,13.42,current,0,2026-02-11,pending,First National,2026-08-05
L-100134,257014.50,7.94,,,2026-07-04,,,2026-08-26
L-100135,410076.55,10.31,forbearance,0,2026-04-14,verified,Freedom Mortgage,2026-08-14
L-100136,220411.98,7.49,current,0,2026-06-14,missing,Rocket Servicing,2026-08-12
L-100137,331239.99,8.19,current,0,2026-02-03,verified,First National,2026-08-24
L-100138,390590.41,9.18,forbearance,0,2026-06-22,complete,ServPro,2026-08-12
L-100139,452036.69,7.58,current,0,2026-05-20,missing,Rocket Servicing,2026-08-04
L-100140,106050.93,10.38,delinquent_30,31,2026-06-28,missing,First National,2026-08-25
L-100141,393752.76,9.86,forbearance,0,,,First National,2026-08-20
L-100142,398993.88,5.71,delinquent_30,62,2026-05-11,missing,First National,2026-08-06
L-100143,274002.52,7.31,delinquent_30,120,2026-01-03,pending,ServPro,2026-08-14
L-100144,79769.41,6.24,delinquent_60,95,2026-02-02,pending,Freedom Mortgage,2026-08-25
L-100145,325135.14,5.77,delinquent_90+,75,2026-08-14,missing,Freedom Mortgage,2026-08-25
L-100146,168957.11,3.83,forbearance,0,2026-08-17,missing,First National,2026-08-08
L-100147,289679.35,2.59,delinquent_60,45,2026-03-25,missing,Rocket Servicing,2026-08-11
L-100148,414338.07,7.67,delinquent_30,75,2026-04-17,missing,First National,2026-08-13
L-100149,59707.35,13.55,delinquent_60,95,2026-07-19,verified,ServPro,2026-08-10
L-100150,406130.07,12.12,forbearance,0,2026-08-27,missing,First National,2026-08-14
L-100151,359257.29,,,0,,,Freedom Mortgage,2026-08-11
L-100152,41280.20,10.10,forbearance,0,2026-04-25,missing,Rocket Servicing,2026-08-24
L-100153,311585.41,4.27,current,0,2026-03-09,pending,Freedom Mortgage,2026-08-20
L-100154,365941.65,,,0,,,ServPro,2026-08-22
L-100155,273133.60,10.12,forbearance,0,2026-06-28,missing,Freedom Mortgage,2026-08-15
L-100156,219659.09,6.13,delinquent_60,95,2026-01-12,complete,Rocket Servicing,2026-08-15
L-100157,276536.93,3.42,current,0,2026-07-15,complete,ServPro,2026-08-26
L-100158,390209.24,,,0,,,Rocket Servicing,2026-08-23
L-100159,199165.46,2.97,delinquent_90+,75,2026-03-12,missing,Rocket Servicing,2026-08-13
L-100160,288995.78,11.97,delinquent_60,31,2026-06-04,verified,Rocket Servicing,2026-08-09
L-100161,316867.94,13.38,delinquent_30,62,2026-02-19,pending,Rocket Servicing,2026-08-10
L-100162,336777.98,7.20,forbearance,0,2026-02-10,verified,Rocket Servicing,2026-08-27
L-100163,246532.03,,current,,2026-06-10,,,2026-08-06
L-100164,167322.86,11.69,delinquent_30,45,2026-03-05,complete,Rocket Servicing,2026-08-26
L-100165,288692.06,12.52,forbearance,0,2026-01-22,missing,Apex Loan Servicing,2026-08-05
L-100166,83631.10,7.75,delinquent_90+,62,2026-04-15,,,2026-08-20
L-100167,377575.86,13.35,,0,,,,2026-08-07
L-100168,454886.83,14.31,delinquent_90+,62,2026-07-17,verified,Freedom Mortgage,2026-08-27
L-100169,181325.75,,,,2026-02-23,,Apex Loan Servicing,2026-08-04
L-100170,74990.61,7.75,delinquent_30,,,verified,Rocket Servicing,2026-08-01
L-100171,193315.63,6.99,delinquent_90+,31,2026-06-08,complete,Rocket Servicing,2026-08-04
L-100172,313731.33,12.00,delinquent_30,31,2026-05-27,verified,Freedom Mortgage,2026-08-25
L-100173,218085.70,2.56,current,0,2026-01-09,pending,Freedom Mortgage,2026-08-18
L-100174,294218.05,7.58,delinquent_60,45,2026-05-04,complete,Freedom Mortgage,2026-08-14
L-100175,300835.02,3.25,delinquent_90+,95,2026-01-21,pending,Freedom Mortgage,2026-08-10
L-100176,297034.55,5.39,delinquent_90+,45,2026-02-17,missing,First National,2026-08-17
L-100177,378545.86,8.59,current,0,2026-07-28,verified,First National,2026-08-21
L-100178,182318.63,11.47,delinquent_60,31,2026-06-08,complete,Apex Loan Servicing,2026-08-24
L-100179,68369.56,6.73,delinquent_60,120,2026-03-27,verified,ServPro,2026-08-21
L-100180,,,delinquent_30,31,,pending,First National,2026-08-11
L-100181,249807.20,14.37,forbearance,0,2026-08-09,complete,Freedom Mortgage,2026-08-10
L-100182,375899.74,12.89,delinquent_60,62,2026-02-26,missing,ServPro,2026-08-13
L-100183,429952.81,7.14,delinquent_30,75,2026-08-12,missing,First National,2026-08-24
L-100184,209538.40,14.44,delinquent_30,95,2026-05-11,complete,First National,2026-08-11
L-100185,150585.53,9.73,delinquent_90+,45,2026-08-12,verified,First National,2026-08-24
L-100186,172465.67,14.48,delinquent_60,120,2026-01-03,verified,Rocket Servicing,2026-08-17
L-100187,327720.04,13.93,delinquent_30,95,2026-08-02,pending,First National,2026-08-08
L-100188,179006.02,7.09,forbearance,0,2026-01-20,pending,ServPro,2026-08-12
L-100189,367465.12,9.39,forbearance,0,2026-06-13,missing,Rocket Servicing,2026-08-08
L-100190,17308.84,4.73,forbearance,0,2026-07-18,complete,Rocket Servicing,2026-08-25
L-100191,479348.70,4.90,,,2026-03-28,,First National,2026-08-15
L-100192,35846.06,,forbearance,,,missing,,2026-08-10
L-100193,343109.32,13.63,delinquent_30,62,2026-04-04,pending,Freedom Mortgage,2026-08-08
L-100194,17484.91,9.15,delinquent_60,75,2026-03-20,complete,First National,2026-08-10
L-100195,345543.46,8.24,delinquent_90+,75,2026-02-05,missing,First National,2026-08-15
L-100196,250746.01,4.04,forbearance,0,2026-03-25,pending,ServPro,2026-08-17
L-100197,31321.10,3.99,delinquent_30,62,2026-03-06,missing,Freedom Mortgage,2026-08-12
L-100198,251476.45,5.91,current,0,2026-05-07,missing,Freedom Mortgage,2026-08-21
L-100199,258402.06,8.53,delinquent_30,95,2026-03-06,missing,Apex Loan Servicing,2026-08-02
L-100200,18477.41,3.05,forbearance,0,2026-05-21,pending,Apex Loan Servicing,2026-08-14
L-100201,19385.80,13.17,forbearance,0,2026-05-21,missing,ServPro,2026-08-08
L-100202,330370.65,6.07,current,0,2026-01-06,verified,ServPro,2026-08-16
L-100203,166591.47,4.22,delinquent_60,120,2026-06-13,pending,Rocket Servicing,2026-08-17
L-100204,156580.05,8.10,delinquent_60,75,2026-04-05,complete,First National,2026-08-10
L-100205,415477.83,7.52,delinquent_30,62,2026-06-07,pending,ServPro,2026-08-17
L-100206,422560.94,8.47,current,0,2026-07-17,verified,Freedom Mortgage,2026-08-07
L-100207,28112.61,5.88,forbearance,0,2026-08-10,complete,First National,2026-08-14
L-100208,195276.27,9.34,delinquent_30,,,missing,,2026-08-18
L-100209,301039.75,9.83,delinquent_30,,,,First National,2026-08-13
L-100210,473724.14,9.19,delinquent_60,45,2026-04-20,verified,Apex Loan Servicing,2026-08-02
L-100211,156301.77,6.50,delinquent_90+,95,2026-08-05,pending,Rocket Servicing,2026-08-20
L-100212,297837.73,12.61,forbearance,0,2026-06-17,verified,Apex Loan Servicing,2026-08-10
L-100213,12902.55,6.47,current,0,2026-07-19,missing,First National,2026-08-20
L-100214,464358.58,11.89,forbearance,0,2026-04-24,complete,Apex Loan Servicing,2026-08-16
L-100215,120043.37,,forbearance,0,,,,2026-08-23
L-100216,70589.18,6.26,delinquent_30,75,2026-04-14,verified,First National,2026-08-23
L-100217,87261.65,13.45,delinquent_60,95,,,,2026-08-12
L-100218,417135.84,10.67,delinquent_60,95,2026-08-07,pending,Rocket Servicing,2026-08-18
L-100219,170681.51,13.70,,,,missing,Rocket Servicing,2026-08-04
L-100220,263015.67,13.25,delinquent_90+,62,2026-03-10,complete,Rocket Servicing,2026-08-23
L-100221,134020.20,10.37,delinquent_90+,45,2026-04-27,missing,Apex Loan Servicing,2026-08-23
L-100222,201318.15,5.37,current,0,2026-04-21,pending,First National,2026-08-04
L-100223,52758.83,11.75,current,0,2026-03-14,verified,ServPro,2026-08-21
L-100224,47493.84,,forbearance,,2026-04-18,complete,,2026-08-06
L-100225,402862.32,13.71,current,0,2026-07-26,verified,Freedom Mortgage,2026-08-24
L-100226,444868.86,13.02,current,0,2026-05-19,complete,Rocket Servicing,2026-08-10
L-100227,309623.39,8.79,delinquent_30,95,2026-08-09,pending,First National,2026-08-11
L-100228,,6.55,,,2026-05-19,pending,,2026-08-06
L-100229,308394.75,7.37,delinquent_90+,95,2026-06-03,verified,First National,2026-08-06
L-100230,231790.70,13.73,current,0,2026-05-13,pending,ServPro,2026-08-25
L-100231,175787.24,,delinquent_30,,2026-01-22,,First National,2026-08-15
L-100232,197572.89,8.53,delinquent_60,120,2026-02-21,missing,Rocket Servicing,2026-08-20
L-100233,474698.03,6.98,,0,,verified,Apex Loan Servicing,2026-08-26
L-100234,108745.52,5.47,forbearance,0,2026-02-17,verified,Apex Loan Servicing,2026-08-23
L-100235,440691.24,3.85,forbearance,0,2026-04-19,pending,Freedom Mortgage,2026-08-11
L-100236,214874.26,10.66,forbearance,0,2026-08-03,verified,First National,2026-08-15
L-100237,324564.66,,delinquent_60,120,,,First National,2026-08-13
L-100238,26512.66,6.63,,0,2026-02-18,complete,,2026-08-03
L-100239,229233.82,5.95,delinquent_30,45,2026-07-12,verified,ServPro,2026-08-13
L-100240,329296.92,10.44,forbearance,0,2026-03-21,missing,First National,2026-08-06
L-100241,191702.85,4.03,delinquent_30,31,2026-01-10,verified,Apex Loan Servicing,2026-08-14
L-100242,396096.21,5.47,delinquent_60,45,2026-05-07,complete,First National,2026-08-26
L-100243,297088.52,13.73,current,0,2026-04-07,complete,First National,2026-08-20
L-100244,116311.16,10.94,current,0,2026-04-24,complete,ServPro,2026-08-15
L-100245,116226.72,13.50,,0,2026-06-19,,Apex Loan Servicing,2026-08-25
L-100246,157315.93,6.12,delinquent_30,120,2026-04-14,missing,Rocket Servicing,2026-08-02
L-100247,286041.88,11.32,delinquent_30,120,2026-07-18,verified,First National,2026-08-12
L-100248,323887.70,11.93,delinquent_60,120,2026-07-14,pending,Rocket Servicing,2026-08-13
L-100249,73567.08,8.06,,0,,,,2026-08-02
L-100250,464698.44,9.19,delinquent_30,75,2026-04-09,pending,Rocket Servicing,2026-08-21
L-100251,292360.49,6.95,forbearance,0,2026-04-02,missing,ServPro,2026-08-22
L-100252,459584.39,12.16,forbearance,0,2026-04-16,pending,Rocket Servicing,2026-08-10
L-100253,267237.66,14.04,current,0,2026-08-08,pending,ServPro,2026-08-08
L-100254,185814.33,8.90,delinquent_60,62,2026-05-12,verified,ServPro,2026-08-04
L-100255,348146.45,11.64,delinquent_60,45,2026-06-11,verified,First National,2026-08-19
L-100256,357094.88,2.69,forbearance,0,2026-07-10,pending,Freedom Mortgage,2026-08-11
L-100257,237095.02,11.18,,,,verified,,2026-08-15
L-100258,427448.15,14.38,,0,,complete,,2026-08-17
L-100259,340905.54,13.84,current,0,2026-01-14,pending,Freedom Mortgage,2026-08-03
L-100260,257800.93,6.98,forbearance,0,2026-08-22,verified,First National,2026-08-01
L-100261,12944.92,11.17,forbearance,0,2026-05-01,verified,Freedom Mortgage,2026-08-04
L-100262,254083.07,5.39,forbearance,0,2026-05-27,missing,Rocket Servicing,2026-08-26
L-100263,182199.50,7.37,forbearance,0,2026-04-23,pending,Rocket Servicing,2026-08-22
L-100264,43293.04,14.40,current,0,2026-02-13,verified,ServPro,2026-08-18
L-100265,307455.34,10.93,current,0,2026-08-28,verified,Rocket Servicing,2026-08-19
L-100266,467573.88,13.24,current,0,2026-04-07,verified,Rocket Servicing,2026-08-02
L-100267,330103.65,5.86,forbearance,0,2026-01-06,missing,First National,2026-08-07
L-100268,362320.87,11.05,delinquent_90+,31,2026-05-06,pending,Apex Loan Servicing,2026-08-27
L-100269,326591.61,8.99,delinquent_90+,120,2026-03-26,complete,Apex Loan Servicing,2026-08-24
L-100270,30505.81,7.75,current,0,2026-06-20,verified,Rocket Servicing,2026-08-01
L-100271,377185.37,7.91,delinquent_30,62,2026-07-14,pending,Apex Loan Servicing,2026-08-22
L-100272,371779.52,6.04,delinquent_30,120,2026-02-03,missing,Freedom Mortgage,2026-08-13
L-100273,306102.92,11.38,delinquent_60,62,2026-02-03,complete,Rocket Servicing,2026-08-15
L-100274,133139.06,4.09,delinquent_30,75,2026-08-18,verified,First National,2026-08-01
L-100275,45232.27,9.66,delinquent_60,75,2026-01-10,verified,ServPro,2026-08-25
L-100276,434973.60,14.24,forbearance,0,2026-03-22,verified,Freedom Mortgage,2026-08-05
L-100277,136081.89,,,0,,missing,ServPro,2026-08-26
L-100278,8214.50,5.46,delinquent_90+,95,2026-04-15,complete,Freedom Mortgage,2026-08-10
L-100279,404766.36,7.06,delinquent_60,75,2026-06-14,pending,Rocket Servicing,2026-08-11
L-100280,335263.84,8.25,delinquent_30,75,2026-06-10,verified,Apex Loan Servicing,2026-08-26
L-100281,272828.99,9.61,forbearance,,,pending,,2026-08-22
L-100282,17785.15,11.23,delinquent_30,75,2026-05-27,complete,ServPro,2026-08-22
L-100283,305834.62,5.40,delinquent_30,120,2026-07-26,verified,First National,2026-08-15
L-100284,232636.48,7.31,forbearance,0,2026-07-18,complete,Rocket Servicing,2026-08-23
L-100285,260030.34,10.16,current,0,2026-02-25,pending,Rocket Servicing,2026-08-06
L-100286,26040.93,14.30,delinquent_90+,62,2026-07-04,complete,First National,2026-08-09
L-100287,224955.02,10.65,,0,,,,2026-08-23
L-100288,168859.51,2.79,current,0,2026-05-14,complete,First National,2026-08-27
L-100289,72295.71,6.24,delinquent_90+,45,2026-08-12,verified,First National,2026-08-15
L-100290,219912.42,3.31,current,0,2026-02-01,missing,First National,2026-08-22
L-100291,446713.16,11.39,forbearance,0,2026-03-18,pending,Rocket Servicing,2026-08-18
L-100292,224475.72,12.07,delinquent_30,45,2026-07-13,complete,Apex Loan Servicing,2026-08-07
L-100293,209037.60,2.55,delinquent_30,45,2026-05-25,complete,Apex Loan Servicing,2026-08-04
L-100294,260022.28,6.89,delinquent_30,75,2026-02-09,verified,Apex Loan Servicing,2026-08-21
L-100295,189603.65,7.21,current,0,2026-06-12,verified,Apex Loan Servicing,2026-08-06
L-100296,340344.47,6.07,forbearance,0,2026-02-22,pending,Rocket Servicing,2026-08-04
L-100297,247641.81,7.52,,,2026-03-19,verified,ServPro,2026-08-06
L-100298,260255.15,13.53,delinquent_30,95,2026-03-16,missing,Freedom Mortgage,2026-08-06
L-100299,219225.46,3.14,delinquent_60,31,2026-08-05,pending,ServPro,2026-08-18
L-100300,240110.68,10.72,delinquent_90+,120,2026-08-16,pending,First National,2026-08-19
L-100301,371960.13,6.01,delinquent_60,45,2026-05-06,verified,Apex Loan Servicing,2026-08-24
L-100302,247632.84,9.37,delinquent_60,95,2026-06-18,complete,ServPro,2026-08-18
L-100303,20309.44,,,,2026-05-12,complete,ServPro,2026-08-04
L-100304,117549.38,12.23,forbearance,0,2026-06-28,verified,Freedom Mortgage,2026-08-20
L-100305,257833.38,,,0,2026-03-11,missing,Rocket Servicing,2026-08-19
L-100306,476430.96,,,0,,pending,,2026-08-23
L-100307,123596.69,11.04,delinquent_30,120,2026-07-16,pending,Apex Loan Servicing,2026-08-21
L-100308,423059.41,,current,0,,verified,,2026-08-17
L-100309,334984.22,13.03,delinquent_90+,75,2026-06-19,complete,First National,2026-08-24
L-100311,306549.26,10.87,current,0,2026-07-07,verified,Freedom Mortgage,2026-08-16
L-100312,235535.50,6.62,,,2026-01-02,,First National,2026-08-21
L-100313,223301.34,3.99,delinquent_30,75,2026-08-01,verified,Freedom Mortgage,2026-08-23
L-100314,424020.19,6.12,delinquent_60,31,2026-06-09,complete,Rocket Servicing,2026-08-22
L-100315,83624.41,7.26,delinquent_60,120,2026-04-14,complete,First National,2026-08-01
L-100316,327991.79,2.61,,0,2026-06-27,,First National,2026-08-14
L-100317,231907.61,5.25,current,0,2026-02-04,missing,Rocket Servicing,2026-08-10
L-100318,272563.33,9.82,,0,2026-03-15,missing,,2026-08-24
L-100319,52720.93,,,0,,,First National,2026-08-19
L-100321,171979.43,7.65,delinquent_30,45,2026-05-21,complete,Freedom Mortgage,2026-08-18
L-100322,347560.33,5.92,current,0,2026-05-07,pending,ServPro,2026-08-10
L-100323,377305.76,12.03,delinquent_30,75,2026-07-04,pending,ServPro,2026-08-21
L-100324,255936.09,14.23,delinquent_60,62,2026-03-13,verified,Rocket Servicing,2026-08-18
L-100325,367294.82,13.95,current,0,2026-01-19,complete,First National,2026-08-09
L-100326,343498.81,11.71,delinquent_90+,120,,,ServPro,2026-08-03
L-100327,260386.30,4.33,current,0,2026-05-03,pending,Freedom Mortgage,2026-08-18
L-100328,283557.65,11.66,current,0,2026-05-23,verified,Freedom Mortgage,2026-08-02
L-100329,357304.42,,delinquent_30,31,,complete,,2026-08-23
L-100331,253427.55,11.90,,0,,missing,Freedom Mortgage,2026-08-12
L-100332,208929.17,,forbearance,0,2026-02-09,,,2026-08-23
